,HorseNameCHI,date,raceid,location_id,distance,DG,Act_RS,wlast,first,firsttwo,firstthree
2572,善傳千里,2018-11-04,149,0,1.4,MiddleInner,MiddleLate,3.0,0,0,0
2573,善傳千里,2018-09-26,49,1,1.2,Inner,MiddleFront,1.0,0,0,0
2574,善傳千里,2018-05-27,681,0,1.4,MiddleInner,MiddleFront,1.0,0,0,0
2575,善傳千里,2018-04-15,570,0,1.4,Outer,MiddleFront,3.0,0,0,0
2576,善傳千里,2018-02-25,453,0,1.6,MiddleOuter,MiddleFront,3.0,0,0,0
2577,善傳千里,2018-01-07,323,0,1.4,MiddleInner,MiddleLate,3.0,1,1,1
2621,暴風俠,2018-12-16,258,0,1.4,MiddleOuter,Late,1.0,1,1,1
2622,暴風俠,2018-11-14,174,1,1.2,Inner,MiddleFront,1.0,0,0,0
2623,暴風俠,2018-05-27,680,0,1.2,MiddleInner,MiddleLate,2.0,0,0,0
2637,積極皇,2018-12-19,271,0,1.2,MiddleInner,Late,2.0,0,0,0
2639,積極皇,2018-10-28,136,1,1.2,MiddleInner,MiddleLate,1.0,0,0,0
2640,積極皇,2018-10-10,89,1,1.0,Inner,MiddleLate,1.0,0,0,0
2641,積極皇,2018-09-12,34,1,1.0,MiddleInner,MiddleFront,3.0,1,1,1
2642,積極皇,2018-07-11,794,1,1.0,MiddleOuter,MiddleLate,2.0,0,0,0
2674,及時行樂,2018-12-23,276,0,1.4,Outer,Late,1.0,0,0,0
2675,及時行樂,2018-10-28,130,1,1.65,MiddleOuter,MiddleLate,1.0,0,0,0
2676,及時行樂,2018-10-07,74,0,1.65,Outer,Late,7.0,0,0,0
2677,及時行樂,2018-09-22,40,0,1.6,Outer,Late,3.0,0,0,0
2678,及時行樂,2018-09-09,26,0,1.4,MiddleInner,MiddleFront,1.0,0,0,0
2679,及時行樂,2018-07-15,802,0,1.4,MiddleInner,MiddleLate,1.0,0,0,1
2680,及時行樂,2018-07-08,786,0,1.4,Inner,MiddleFront,1.0,0,1,1
2681,及時行樂,2018-06-24,746,0,1.4,MiddleOuter,MiddleLate,2.0,1,1,1
